,Accuracy,Precision,Recall,F1 Score
Random Forest,0.8393825166038414,0.838897178809417,0.8393825166038414,0.8387050417712058
Decision Tree,0.7671872195297074,0.7668047005470523,0.7671872195297074,0.7669611622137771
XGBoost,0.8373003051516783,0.8367566982545371,0.8373003051516783,0.8367688029664286
Gradient Boosting,0.8469215580685694,0.8464343057552789,0.8469215580685694,0.8463064019574983
Logistic Regression,0.8444444444444444,0.8461413125678174,0.8444444444444444,0.8449220611711323
